movies,similar
Blazing Saddles (1974),"Animal House (1978);Caddyshack (1980);American Graffiti (1973);Young Frankenstein (1974);Airplane! (1980);Muppet Movie, The (1979);Kentucky Fried Movie, The (1977);Slap Shot (1977);Odd Couple, The (1968);Monty Python's And Now for Something Completely Different (1971)"
Benji (1974),"Charlie, the Lonesome Cougar (1967);Prancer (1989);For the Love of Benji (1977);Adventures of Milo and Otis, The (Koneko monogatari) (1986);Incredible Mr. Limpet, The (1964);Shaggy D.A., The (1976);Herbie Goes to Monte Carlo (1977);Harry and the Hendersons (1987);Journey of Natty Gann, The (1985);Benji the Hunted (1987)"
Benji the Hunted (1987),"Adventures of Milo and Otis, The (Koneko monogatari) (1986);All Dogs Go to Heaven (1989);American Tail: Fievel Goes West, An (1991);Santa Claus: The Movie (1985);Hocus Pocus (1993);Herbie Goes Bananas (1980);Little Vampire, The (2000);Benji (1974);American Tail, An (1986);Andre (1994)"
For the Love of Benji (1977),"Benji (1974);Blackbeard's Ghost (1968);Shaggy D.A., The (1976);Herbie Goes to Monte Carlo (1977);Charlie, the Lonesome Cougar (1967);Cat from Outer Space, The (1978);Gnome-Mobile, The (1967);Barney's Great Adventure (1998);Darby O'Gill and the Little People (1959);Santa Claus: The Movie (1985)"
White Christmas (1954),"King and I, The (1956);Guys and Dolls (1955);Holiday Inn (1942);Anchors Aweigh (1945);Unsinkable Molly Brown, The (1964);Slipper and the Rose, The (1976);Hans Christian Andersen (1952);South Pacific (1958);Gypsy (1962);Seven Brides for Seven Brothers (1954)"
Eraserhead (1977),"Videodrome (1983);Santa Sangre (1989);Naked Lunch (1991);Tetsuo, the Ironman (Tetsuo) (1988);Twin Peaks: Fire Walk with Me (1992);Wild at Heart (1990);Zed & Two Noughts, A (1985);Topo, El (1970);Tenant, The (Locataire, Le) (1976);Wicker Man, The (1973)"
Baraka (1992),"Naqoyqatsi (2002);Powaqqatsi (1988);Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003);Manufacturing Consent: Noam Chomsky and the Media (1992);Tuvalu (1999);Akira Kurosawa's Dreams (Dreams) (1990);Triplets of Belleville, The (Les triplettes de Belleville) (2003);Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003);Samsara (2001);Dancer in the Dark (2000)"
"Man with the Golden Arm, The (1955)","Suddenly, Last Summer (1959);Star Is Born, A (1937);Place in the Sun, A (1951);Our Town (1940);On the Beach (1959);Angel on My Shoulder (1946);Misfits, The (1961);Spiral Staircase, The (1946);Room at the Top (1959);Good Earth, The (1937)"
"Decline of Western Civilization, The (1981)","Decline of Western Civilization Part II: The Metal Years, The (1988);Mystery Train (1989);River's Edge (1986);Filth and the Fury, The (2000);How to Get Ahead in Advertising (1989);Pink Flamingos (1972);Drugstore Cowboy (1989);Barfly (1987);Stop Making Sense (1984);Dead Ringers (1988)"
"Decline of Western Civilization Part II: The Metal Years, The (1988)","Decline of Western Civilization, The (1981);Shakes the Clown (1992);Filth and the Fury, The (2000);River's Edge (1986);Kurt & Courtney (1998);Mystery Train (1989);Hype! (1996);American Movie (1999);Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999);Hard Core Logo (1996)"
For a Few Dollars More (Per qualche dollaro in più) (1965),"Fistful of Dollars, A (Per un pugno di dollari) (1964);Once Upon a Time in the West (C'era una volta il West) (1968);Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966);Outlaw Josey Wales, The (1976);High Plains Drifter (1973);Magnificent Seven, The (1960);Dirty Harry (1971);Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971);Hang 'Em High (1968);Cross of Iron (1977)"
Magnum Force (1973),"Enforcer, The (1976);Thunderbolt and Lightfoot (1974);Kelly's Heroes (1970);Death Wish (1974);Hang 'Em High (1968);Gauntlet, The (1977);Breakheart Pass (1975);High Plains Drifter (1973);Eagle Has Landed, The (1976);Sons of Katie Elder (1965)"
Blood Simple (1984),"Conversation, The (1974);House of Games (1987);Badlands (1973);Do the Right Thing (1989);Mystery Train (1989);Dog Day Afternoon (1975);Network (1976);One False Move (1992);King of Comedy, The (1983);Stop Making Sense (1984)"
"Fabulous Baker Boys, The (1989)","Prizzi's Honor (1985);Big Easy, The (1987);Accidental Tourist, The (1988);Madame Sousatzka (1988);Coming Home (1978);Flamingo Kid, The (1984);Postcards From the Edge (1990);Cry in the Dark, A (1988);Things Change (1988);American Gigolo (1980)"
Prizzi's Honor (1985),"Fabulous Baker Boys, The (1989);Big Easy, The (1987);Things Change (1988);Coming Home (1978);Flamingo Kid, The (1984);Shampoo (1975);Hope and Glory (1987);Postman Always Rings Twice, The (1981);Diner (1982);Breaking Away (1979)"
Flatliners (1990),"Hand That Rocks the Cradle, The (1992);Vanishing, The (1993);Seventh Sign, The (1988);Apt Pupil (1998);Single White Female (1992);Jennifer 8 (1992);8MM (1999);Alive (1993);Crush, The (1993);D.O.A. (1988)"
Porky's (1982),Bachelor Party (1984);Revenge of the Nerds (1984);Porky's II: The Next Day (1983);Who's Harry Crumb? (1989);Porky's Revenge (1985);Brewster's Millions (1985);Summer Rental (1985);Johnny Be Good (1988);European Vacation (aka National Lampoon's European Vacation) (1985);Easy Money (1983)
Porky's II: The Next Day (1983),Porky's Revenge (1985);Porky's (1982);Revenge of the Nerds II: Nerds in Paradise (1987);Police Academy (1984);Who's Harry Crumb? (1989);Private School (1983);European Vacation (aka National Lampoon's European Vacation) (1985);Armed and Dangerous (1986);Police Academy 2: Their First Assignment (1985);Harry and the Hendersons (1987)
Porky's Revenge (1985),Porky's II: The Next Day (1983);Porky's (1982);Revenge of the Nerds II: Nerds in Paradise (1987);Who's Harry Crumb? (1989);Meatballs III (1987);Meatballs Part II (1984);Police Academy (1984);Summer Rental (1985);Police Academy 4: Citizens on Patrol (1987);Private School (1983)
Private School (1983),Porky's II: The Next Day (1983);Porky's Revenge (1985);Porky's (1982);Who's Harry Crumb? (1989);House Party (1990);European Vacation (aka National Lampoon's European Vacation) (1985);Police Academy (1984);Fletch Lives (1989);Revenge of the Nerds (1984);Brewster's Millions (1985)
Class of Nuke 'Em High (1986),"C.H.U.D. (1984);Motel Hell (1980);Toxic Avenger, The (1985);Toxic Avenger, Part II, The (1989);Phantasm II (1988);Basket Case (1982);Blob, The (1988);Hellbound: Hellraiser II (1988);Texas Chainsaw Massacre 2, The (1986);Return of the Living Dead Part II (1988)"
"Toxic Avenger, The (1985)","Class of Nuke 'Em High (1986);Hellraiser (1987);Hellbound: Hellraiser II (1988);Toxic Avenger, Part II, The (1989);Night of the Creeps (1986);Return of the Living Dead, The (1985);Phantasm II (1988);Re-Animator (1985);Texas Chainsaw Massacre 2, The (1986);Basket Case (1982)"
"Toxic Avenger, Part II, The (1989)","Toxic Avenger Part III: The Last Temptation of Toxie, The (1989);Class of Nuke 'Em High (1986);Toxic Avenger, The (1985);Sleepaway Camp (1983);Texas Chainsaw Massacre 2, The (1986);Phantasm II (1988);C.H.U.D. (1984);Hellbound: Hellraiser II (1988);Return of the Living Dead Part II (1988);Blob, The (1988)"
"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)","Toxic Avenger, Part II, The (1989);Texas Chainsaw Massacre 2, The (1986);Phantasm III: Lord of the Dead (1994);Phantasm II (1988);Toxic Avenger, The (1985);Creepshow 2 (1987);Hellbound: Hellraiser II (1988);Halloween III: Season of the Witch (1982);Hellraiser III: Hell on Earth (1992);Class of Nuke 'Em High (1986)"
Night of the Creeps (1986),"Texas Chainsaw Massacre 2, The (1986);Phantasm II (1988);Return of the Living Dead, The (1985);Hellbound: Hellraiser II (1988);Pumpkinhead (1988);Bride of Re-Animator (1990);Hellraiser (1987);Basket Case (1982);Re-Animator (1985);Funhouse, The (1981)"
Predator 2 (1990),"RoboCop 2 (1990);Universal Soldier (1992);Running Man, The (1987);Spawn (1997);Freejack (1992);Soldier (1998);Conan the Destroyer (1984);Mad Max Beyond Thunderdome (1985);Event Horizon (1997);Battlefield Earth (2000)"
"Running Man, The (1987)","Mad Max Beyond Thunderdome (1985);Predator 2 (1990);Freejack (1992);Bloodsport (1988);Krull (1983);RoboCop 2 (1990);Big Trouble in Little China (1986);Conan the Destroyer (1984);Cannonball Run, The (1981);American Ninja (1985)"
Starman (1984),"Alien Nation (1988);Dreamscape (1984);Fantastic Voyage (1966);Outland (1981);F/X (1986);Voyage to the Bottom of the Sea (1961);Runaway (1984);Time Machine, The (1960);Quest for Fire (Guerre du feu, La) (1981);Arthur (1981)"
"Brother from Another Planet, The (1984)","Birdy (1984);Matewan (1987);She's Gotta Have It (1986);Something Wild (1986);Stunt Man, The (1980);Man Who Fell to Earth, The (1976);Prizzi's Honor (1985);Things Change (1988);Hope and Glory (1987);Prick Up Your Ears (1987)"
Alien Nation (1988),Dreamscape (1984);Runaway (1984);Starman (1984);Communion (1989);Mad Max Beyond Thunderdome (1985);Fantastic Voyage (1966);Outland (1981);Battle Beyond the Stars (1980);Sinbad and the Eye of the Tiger (1977);Flash Gordon (1980)
Mad Max (1979),"Road Warrior, The (Mad Max 2) (1981);Mad Max Beyond Thunderdome (1985);RoboCop (1987);Predator (1987);Running Man, The (1987);Planet of the Apes (1968);Escape from New York (1981);Excalibur (1981);Dune (1984);Outland (1981)"
"Road Warrior, The (Mad Max 2) (1981)","Mad Max (1979);RoboCop (1987);Mad Max Beyond Thunderdome (1985);Predator (1987);Escape from New York (1981);Running Man, The (1987);Big Trouble in Little China (1986);Conan the Barbarian (1982);Thing, The (1982);Hidden, The (1987)"
Mad Max Beyond Thunderdome (1985),"Running Man, The (1987);Mad Max (1979);Alien Nation (1988);Freejack (1992);Dreamscape (1984);Krull (1983);Flash Gordon (1980);Predator 2 (1990);Runaway (1984);Road Warrior, The (Mad Max 2) (1981)"
Bird on a Wire (1990),"Air America (1990);F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991);Forever Young (1992);Her Alibi (1989);Medicine Man (1992);K-9 (1989);Bodyguard, The (1992);Six Days Seven Nights (1998);Presidio, The (1988);Turner & Hooch (1989)"
Angel Heart (1987),"Bad Lieutenant (1992);Manhunter (1986);Hot Spot, The (1990);Jacob's Ladder (1990);Barfly (1987);Kill Me Again (1989);Frantic (1988);Altered States (1980);Hunger, The (1983);Dead Ringers (1988)"
9 1/2 Weeks (Nine 1/2 Weeks) (1986),"Against All Odds (1984);American Gigolo (1980);Champ, The (1979);Two Moon Junction (1988);Betrayed (1988);Less Than Zero (1987);American Flyers (1985);Breathless (1983);Postman Always Rings Twice, The (1981);Bright Lights, Big City (1988)"
Firestarter (1984),"Ghoulies (1985);Sleepwalkers (1992);Cat's Eye (1985);Needful Things (1993);Children of the Corn (1984);Maximum Overdrive (1986);Cujo (1983);Christine (1983);Poltergeist II: The Other Side (1986);Gate, The (1987)"
Sleepwalkers (1992),"Firestarter (1984);Needful Things (1993);Dark Half, The (1993);American Werewolf in Paris, An (1997);Nightmare on Elm Street 2: Freddy's Revenge, A (1985);Tales from the Darkside: The Movie (1990);Gate, The (1987);Poltergeist II: The Other Side (1986);Maximum Overdrive (1986);Cat's Eye (1985)"
Action Jackson (1988),"Death Wish 2 (1982);Iron Eagle (1986);Golden Child, The (1986);Missing in Action (1984);Death Wish 4: The Crackdown (1987);Wanted: Dead or Alive (1987);Let's Get Harry (1986);Band of the Hand (1986);Red Sonja (1985);Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993)"
Sarafina! (1992),"Miss Firecracker (1989);Competition, The (1980);Betsy's Wedding (1990);Owl and the Pussycat, The (1970);Postcards From the Edge (1990);Chances Are (1989);Long Walk Home, The (1990);Butterflies Are Free (1972);Chorus Line, A (1985);Yentl (1983)"
Soapdish (1991),"Defending Your Life (1991);Peter's Friends (1992);Honeymoon in Vegas (1992);Postcards From the Edge (1990);Big Tease, The (1999);Impostors, The (1998);Punchline (1988);Prelude to a Kiss (1992);Nine to Five (a.k.a. 9 to 5) (1980);Miss Firecracker (1989)"
"Long Walk Home, The (1990)","Norma Rae (1979);Avalon (1990);Stanley & Iris (1990);Songcatcher (2000);Map of the World, A (1999);Waterdance, The (1992);Tumbleweeds (1999);Sarafina! (1992);Running on Empty (1988);Third Miracle, The (1999)"
Clara's Heart (1988),"Good Mother, The (1988);River, The (1984);Stanley & Iris (1990);Home of Our Own, A (1993);For the Boys (1991);Dad (1989);Ice Castles (1978);Baby Boom (1987);Prince of Tides, The (1991);Betrayed (1988)"
Burglar (1987),"Blind Date (1987);Volunteers (1985);Tough Guys (1986);Soul Man (1986);My Chauffeur (1986);And God Created Woman (1988);Harry and the Hendersons (1987);Under the Rainbow (1981);Feds (1988);Devil and Max Devlin, The (1981)"
Fatal Beauty (1987),"Burglar (1987);Never Talk to Strangers (1995);Jumpin' Jack Flash (1986);Soul Man (1986);8 Seconds (1994);Cool, Dry Place, A (1998);Dying Young (1991);My Chauffeur (1986);Clara's Heart (1988);At First Sight (1999)"
Gone in 60 Seconds (2000),"Swordfish (2001);Fast and the Furious, The (2001);Driven (2001);Antitrust (2001);Art of War, The (2000);Romeo Must Die (2000);Skulls, The (2000);Vertical Limit (2000);Mission: Impossible II (2000);Behind Enemy Lines (2001)"
American Pimp (1999),"Bamboozled (2000);Filth and the Fury, The (2000);Beyond the Mat (1999);American Movie (1999);Jesus' Son (1999);Black and White (1999);Hype! (1996);Startup.com (2001);Steal This Movie! (2000);Joe Gould's Secret (2000)"
Love's Labour's Lost (2000),"Mansfield Park (1999);Blow Dry (a.k.a. Never Better) (2001);Impromptu (1991);Very Thought of You, The (1998);About Adam (2000);Big Tease, The (1999);Hamlet (2000);House of Mirth, The (2000);Golden Bowl, The (2000);Still Breathing (1997)"
Sunshine (1999),"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000);Butterfly (La lengua de las mariposas) (1999);Pollock (2000);Affair of Love, An (Liaison pornographique, Une) (1999);House of Mirth, The (2000);Innocence (2000);Five Senses, The (1999);East-West (Est-ouest) (1999);Golden Bowl, The (2000);Two Family House (2000)"
Trixie (2000),"Beautiful People (1999);Big Tease, The (1999);Gray's Anatomy (1996);Holy Smoke (1999);Miss Firecracker (1989);Critical Care (1997);Gas, Food, Lodging (1992);Myth of Fingerprints, The (1997);Hotel New Hampshire, The (1984);Big Picture, The (1989)"
Hamlet (1990),Little Man Tate (1991);Romero (1989);Of Mice and Men (1992);Romeo and Juliet (1968);Sarafina! (1992);Tucker: The Man and His Dream (1988);Gorillas in the Mist (1988);Lady Jane (1986);Love's Labour's Lost (2000);Stand and Deliver (1988)
Coming Home (1978),"Paper Chase, The (1973);Bound for Glory (1976);They Shoot Horses, Don't They? (1969);Norma Rae (1979);Pawnbroker, The (1964);Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972);Prince of the City (1981);Carnal Knowledge (1971);French Lieutenant's Woman, The (1981);Way We Were, The (1973)"
American Pop (1981),"Nine Lives of Fritz the Cat, The (1974);Tommy (1975);It Came from Hollywood (1982);Communion (1989);Fritz the Cat (1972);Knightriders (1981);Attack of the Killer Tomatoes! (1978);Amazon Women on the Moon (1987);Hunger, The (1983);Something Wicked This Way Comes (1983)"
Assault on Precinct 13 (1976),"Rabid (1977);Devil Rides Out, The (1968);Wicker Man, The (1973);Scanners (1981);Southern Comfort (1981);Black Sabbath (Tre volti della paura, I) (1963);Crazies, The (a.k.a. Code Name: Trixie) (1973);Black Sunday (La maschera del demonio) (1960);Phantom of the Paradise (1974);Fury, The (1978)"
Near Dark (1987),"Re-Animator (1985);Hidden, The (1987);Fury, The (1978);Basket Case (1982);Cronos (1993);Night of the Creeps (1986);Bride of Re-Animator (1990);Lair of the White Worm, The (1988);Dead Zone, The (1983);Kronos (a.k.a. Captain Kronos: Vampire Hunter) (1973)"
One False Move (1992),"House of Games (1987);At Close Range (1986);Talk Radio (1988);Blue Collar (1978);River's Edge (1986);After Dark, My Sweet (1990);Reversal of Fortune (1990);Last Seduction, The (1994);Miami Blues (1990);Something Wild (1986)"
Shaft (1971),"The Golden Voyage of Sinbad (1973);Thunderbolt and Lightfoot (1974);Kentucky Fried Movie, The (1977);Death Wish (1974);Sinbad and the Eye of the Tiger (1977);Dead Pool, The (1988);F/X (1986);Shaft's Big Score! (1972);Knightriders (1981);Battle Creek Brawl (Big Brawl, The) (1980)"
"Conversation, The (1974)","Badlands (1973);Blood Simple (1984);Network (1976);House of Games (1987);Dog Day Afternoon (1975);Five Easy Pieces (1970);King of Comedy, The (1983);Blow-Up (Blowup) (1966);Hustler, The (1961);Double Indemnity (1944)"
Cutter's Way (1981),"King of Marvin Gardens, The (1972);Who'll Stop the Rain (1978);Dead, The (1987);Blue Collar (1978);Prince of the City (1981);Housekeeping (1987);Bound for Glory (1976);Enemies: A Love Story (1989);Sugarland Express, The (1974);Turtle Diary (1985)"
"Fury, The (1978)","Stepfather, The (1987);Abominable Dr. Phibes, The (1971);Tales of Terror (1962);Phantom of the Paradise (1974);Masque of the Red Death, The (1964);Creature from the Black Lagoon, The (1954);Tomb of Ligeia, The (1965);Devil Rides Out, The (1968);Fall of the House of Usher, The (House of Usher) (1960);Legend of Hell House, The (1973)"
"Paper Chase, The (1973)","Coming Home (1978);Norma Rae (1979);Breaking Away (1979);To Sir with Love (1967);Summer of '42 (1971);Great Santini, The (1979);Verdict, The (1982);Buddy Holly Story, The (1978);Guess Who's Coming to Dinner (1967);Coal Miner's Daughter (1980)"
Prince of the City (1981),"Sugarland Express, The (1974);Bound for Glory (1976);Who'll Stop the Rain (1978);King of Marvin Gardens, The (1972);Cutter's Way (1981);Turtle Diary (1985);Stunt Man, The (1980);Heartbreak Kid, The (1972);True Confessions (1981);At Close Range (1986)"
Serpico (1973),"Dog Day Afternoon (1975);Marathon Man (1976);Hustler, The (1961);Midnight Express (1978);Papillon (1973);Network (1976);Three Days of the Condor (3 Days of the Condor) (1975);Five Easy Pieces (1970);Last Detail, The (1973);...And Justice for All (1979)"
"Ace in the Hole (Big Carnival, The) (1951)","In a Lonely Place (1950);Scarlet Street (1945);Lady from Shanghai, The (1947);Pickup on South Street (1953);Night and the City (1950);Life and Death of Colonel Blimp, The (1943);Magnificent Ambersons, The (1942);Stranger, The (1946);Matter of Life and Death, A (Stairway to Heaven) (1946);Set-Up, The (1949)"
Lonely Are the Brave (1962),"Big Country, The (1958);Seven Days in May (1964);Horse Soldiers, The (1959);Sand Pebbles, The (1966);On the Beach (1959);Shane (1953);Elmer Gantry (1960);Hombre (1967);Man from Laramie, The (1955);Twelve O'Clock High (1949)"
"Sugarland Express, The (1974)","Prince of the City (1981);Bound for Glory (1976);King of Marvin Gardens, The (1972);Who'll Stop the Rain (1978);Man with the Golden Arm, The (1955);Cutter's Way (1981);Last Detail, The (1973);Misfits, The (1961);Carnal Knowledge (1971);Coming Home (1978)"
Trouble in Paradise (1932),"I Know Where I'm Going! (1945);All That Heaven Allows (1955);À nous la liberté (Freedom for Us) (1931);Seven Chances (1925);Written on the Wind (1956);Magnificent Ambersons, The (1942);Pépé le Moko (1937);Scarlet Empress, The (1934);Navigator, The (1924);Bad and the Beautiful, The (1952)"
Big Trouble in Little China (1986),"Krull (1983);Running Man, The (1987);Flash Gordon (1980);Conan the Barbarian (1982);Beastmaster, The (1982);Blind Fury (1989);Last Dragon, The (1985);Conan the Destroyer (1984);Clash of the Titans (1981);Mad Max Beyond Thunderdome (1985)"
Badlands (1973),"Conversation, The (1974);Days of Heaven (1978);Long Goodbye, The (1973);Blow-Up (Blowup) (1966);Blue Collar (1978);Repulsion (1965);Mean Streets (1973);King of Comedy, The (1983);Stranger Than Paradise (1984);Fitzcarraldo (1982)"
Battleship Potemkin (1925),"Grand Illusion (La grande illusion) (1937);Dersu Uzala (1975);Woman in the Dunes (Suna no onna) (1964);Gold Rush, The (1925);Trial, The (Procès, Le) (1962);Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948);Rome, Open City (a.k.a. Open City) (Roma, città aperta) (1945);Children of Paradise (Les enfants du paradis) (1945);City Lights (1931);Nights of Cabiria (Notti di Cabiria, Le) (1957)"
Boys and Girls (2000),Down to You (2000);Whatever It Takes (2000);Loser (2000);Head Over Heels (2001);Three to Tango (1999);Get Over It (2001);Someone Like You (2001);Summer Catch (2001);Here on Earth (2000);Coyote Ugly (2000)
Shaft (2000),"Romeo Must Die (2000);Art of War, The (2000);Bait (2000);Driven (2001);Reindeer Games (2000);Whole Nine Yards, The (2000);Get Carter (2000);Vertical Limit (2000);Double Take (2001);Kiss of the Dragon (2001)"
Titan A.E. (2000),"Final Fantasy: The Spirits Within (2001);Red Planet (2000);Dungeons & Dragons (2000);Pitch Black (2000);Godzilla 2000 (Gojira ni-sen mireniamu) (1999);Atlantis: The Lost Empire (2001);6th Day, The (2000);Battlefield Earth (2000);Highlander: Endgame (Highlander IV) (2000);Dinosaur (2000)"
Butterfly (La lengua de las mariposas) (1999),"Color of Paradise, The (Rang-e khoda) (1999);Divided We Fall (Musíme si pomáhat) (2000);Solas (1999);Affair of Love, An (Liaison pornographique, Une) (1999);Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000);Son's Room, The (Stanza del figlio, La) (2001);Shower (Xizao) (1999);Sunshine (1999);Taste of Others, The (Le goût des autres) (2000);Pauline & Paulette (Pauline en Paulette) (2001)"
Jesus' Son (1999),"Wonderland (1999);Chuck & Buck (2000);Time Code (2000);Joe Gould's Secret (2000);With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Waking the Dead (2000);Anniversary Party, The (2001);Before Night Falls (2000);Croupier (1998);Filth and the Fury, The (2000)"
"Time Regained (Temps retrouvé, Le) (1999)","Love Is the Devil (1998);Judgement in Stone, A (Cérémonie, La) (1995);Go Figure (Va savoir) (2001);Promise, The (La promesse) (1996);Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991);Rosetta (1999);Gabbeh (1996);Faithless (Trolösa) (2000);Girl on the Bridge, The (Fille sur le pont, La) (1999);Under the Sand (2000)"
Chicken Run (2000),"Creature Comforts (1989);Wallace & Gromit in The Curse of the Were-Rabbit (2005);Grand Day Out with Wallace and Gromit, A (1989);Wallace & Gromit: The Wrong Trousers (1993);Toy Story 2 (1999);Wallace & Gromit: The Best of Aardman Animation (1996);Galaxy Quest (1999);Wallace & Gromit: A Close Shave (1995);Fantasia 2000 (1999);Dish, The (2001)"
"Me, Myself & Irene (2000)","Road Trip (2000);Scary Movie (2000);Deuce Bigalow: Male Gigolo (1999);Little Nicky (2000);Big Daddy (1999);Nutty Professor II: The Klumps (2000);Next Friday (2000);Final Destination (2000);Ladies Man, The (2000);Dude, Where's My Car? (2000)"
"Patriot, The (2000)","U-571 (2000);Perfect Storm, The (2000);Frequency (2000);Men of Honor (2000);Pearl Harbor (2001);Mission: Impossible II (2000);Gone in 60 Seconds (2000);Rules of Engagement (2000);Vertical Limit (2000);Cast Away (2000)"
"Adventures of Rocky and Bullwinkle, The (2000)","Cats & Dogs (2001);Recess: School's Out (2001);Dudley Do-Right (1999);Rugrats in Paris: The Movie (2000);Monkeybone (2001);Stuart Little (1999);Muppets From Space (1999);Dinosaur (2000);Road to El Dorado, The (2000);Jimmy Neutron: Boy Genius (2001)"
"Perfect Storm, The (2000)","U-571 (2000);Rules of Engagement (2000);Vertical Limit (2000);Proof of Life (2000);Frequency (2000);Patriot, The (2000);Legend of Bagger Vance, The (2000);Reindeer Games (2000);Men of Honor (2000);Space Cowboys (2000)"
"Golden Bowl, The (2000)","House of Mirth, The (2000);Luzhin Defence, The (2000);Up at the Villa (2000);Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000);Innocence (2000);Songcatcher (2000);Two Family House (2000);About Adam (2000);American Rhapsody, An (2001);Sunshine (1999)"
Communion (1989),Dreamscape (1984);Alien Nation (1988);Runaway (1984);Parasite (1982);Lifeforce (1985);Brainstorm (1983);Battle Beyond the Stars (1980);Altered States (1980);Wolfen (1981);Firestarter (1984)
Fun and Fancy Free (1947),"Melody Time (1948);Great Mouse Detective, The (1986);Rescuers, The (1977);Adventures of Ichabod and Mr. Toad, The (1949);Saludos Amigos (1943);Rescuers Down Under, The (1990);Pete's Dragon (1977);Babes in Toyland (1961);Three Caballeros, The (1945);Sleeping Beauty (1959)"
"Kentucky Fried Movie, The (1977)","Amazon Women on the Moon (1987);I'm Gonna Git You Sucka (1988);Hollywood Knights, The (1980);Easy Money (1983);Man with Two Brains, The (1983);Penn & Teller Get Killed (1989);Pee-wee's Big Adventure (1985);Meatballs (1979);Where the Buffalo Roam (1980);Shakes the Clown (1992)"
"Bound by Honor (a.k.a. Blood In, Blood Out) (1993)",Dobermann (1997);Harsh Times (2006);Felon (2008);Scarface (1983);Out for Justice (1991);Kummeli Goldrush (Kummeli kultakuume) (1997);Running Scared (2006);Thursday (1998);Cocaine Cowboys (2006);Falling Down (1993)
F/X (1986),"Presidio, The (1988);Shoot to Kill (1988);No Way Out (1987);Dead Pool, The (1988);Thunderbolt and Lightfoot (1974);Dreamscape (1984);Starman (1984);Nighthawks (1981);Big Easy, The (1987);D.O.A. (1988)"
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991),"Air America (1990);Bird on a Wire (1990);Siege, The (1998);Next of Kin (1989);Hard Rain (1998);Freejack (1992);Missing in Action (1984);Getaway, The (1994);U.S. Marshals (1998);K-9 (1989)"
"Hot Spot, The (1990)",Kill Me Again (1989);At Close Range (1986);Talk Radio (1988);Miami Blues (1990);Bad Influence (1990);White Sands (1992);Frantic (1988);Angel Heart (1987);Dressed to Kill (1980);Crimes of Passion (1984)
Missing in Action (1984),Missing in Action 2: The Beginning (1985);Death Wish 4: The Crackdown (1987);Death Wish 2 (1982);Death Wish 3 (1985);Braddock: Missing in Action III (1988);Band of the Hand (1986);Iron Eagle (1986);Next of Kin (1989);Uncommon Valor (1983);Air America (1990)
Missing in Action 2: The Beginning (1985),Missing in Action (1984);Braddock: Missing in Action III (1988);Death Wish 4: The Crackdown (1987);Death Wish 3 (1985);Band of the Hand (1986);Death Wish 2 (1982);Next of Kin (1989);Iron Eagle II (1988);Air America (1990);Uncommon Valor (1983)
Braddock: Missing in Action III (1988),Missing in Action 2: The Beginning (1985);Missing in Action (1984);Death Wish 4: The Crackdown (1987);Rambo III (1988);Iron Eagle II (1988);Iron Eagle (1986);Death Wish 2 (1982);Black Dog (1998);Death Wish 3 (1985);Hard Rain (1998)
Thunderbolt and Lightfoot (1974),"Death Wish (1974);Magnum Force (1973);Coogan's Bluff (1968);Breakheart Pass (1975);Gauntlet, The (1977);True Grit (1969);Force 10 from Navarone (1978);Nighthawks (1981);Dead Pool, The (1988);The Golden Voyage of Sinbad (1973)"
Dreamscape (1984),Alien Nation (1988);Runaway (1984);Communion (1989);Sinbad and the Eye of the Tiger (1977);Starman (1984);The Golden Voyage of Sinbad (1973);Fantastic Voyage (1966);Conquest of the Planet of the Apes (1972);Night of the Comet (1984);Mad Max Beyond Thunderdome (1985)
The Golden Voyage of Sinbad (1973),"Sinbad and the Eye of the Tiger (1977);7th Voyage of Sinbad, The (1958);Voyage to the Bottom of the Sea (1961);Fantastic Voyage (1966);Knightriders (1981);Dreamscape (1984);Creature from the Black Lagoon, The (1954);Thunderbolt and Lightfoot (1974);Godzilla (Gojira) (1954);Death Wish (1974)"
House Party (1990),Porky's (1982);White Men Can't Jump (1992);Revenge of the Nerds (1984);Private School (1983);I'm Gonna Git You Sucka (1988);Bachelor Party (1984);Booty Call (1997);How to Be a Player (1997);Harlem Nights (1989);Who's Harry Crumb? (1989)
